Squad;Competition;Takles Z1;Takles Z2;Takles Z3;Pressure Z1;Pressure Z2;Pressure Z3;Touches Z1;Touches Z2;Touches Z3;Takles Z1 /90;Takles Z2 /90;Takles Z3 /90;Pressure Z1 /90;Pressure Z2 /90;Pressure Z3 /90;Touches Z1 /90;Touches Z2 /90;Touches Z3 /90
Everton;Premier League;55.74;33.61;10.66;41.18;40.47;18.36;37.49;46.52;22.3;9.71;5.86;1.86;55.33;54.38;24.67;234.33;290.81;139.38
Fulham;Premier League;48.3;38.38;13.32;35.17;41.34;23.49;33.91;46.9;25.69;8.41;6.68;2.32;44.5;52.32;29.73;209.73;290.05;158.91
Leeds United;Premier League;52.24;35.39;12.37;34.36;43.4;22.24;37.27;43.16;25.98;11.14;7.55;2.64;56.68;71.59;36.68;257.82;298.5;179.73
Leicester City;Premier League;49.77;35.58;14.65;35.59;41.5;22.92;32.86;47.7;25.3;9.3;6.65;2.74;47.87;55.83;30.83;212.26;308.09;163.39
Liverpool;Premier League;39.55;41.48;18.97;24.76;41.86;33.38;25.1;51.33;29.63;5.35;5.61;2.57;30.96;52.35;41.74;202.22;413.43;238.7
Manchester City;Premier League;41.56;42.81;15.62;25.92;44.08;30.0;23.44;54.36;28.85;6.05;6.23;2.27;28.27;48.09;32.73;189.86;440.27;233.68
Manchester Utd;Premier League;49.1;37.34;13.55;30.07;42.89;27.04;30.09;46.95;29.56;8.35;6.35;2.3;37.61;53.65;33.83;208.7;325.57;205.0
Newcastle Utd;Premier League;52.34;37.47;10.19;38.26;42.18;19.56;38.89;42.0;24.6;8.26;5.91;1.61;51.78;57.09;26.48;192.26;207.65;121.61
Sheffield Utd;Premier League;52.54;36.32;11.14;34.09;42.06;23.85;31.31;42.97;31.2;9.43;6.52;2.0;51.35;63.35;35.91;166.26;228.17;165.65
Southampton;Premier League;46.65;42.12;11.23;33.74;43.91;22.35;32.84;50.58;22.68;9.82;8.86;2.36;46.59;60.64;30.86;210.55;324.32;145.41
Tottenham;Premier League;54.66;33.58;11.76;37.75;42.65;19.6;34.01;49.53;22.41;10.14;6.23;2.18;57.09;64.5;29.64;211.64;308.23;139.5
West Brom;Premier League;56.37;33.58;10.05;40.76;41.71;17.53;37.29;44.23;23.17;10.0;5.96;1.78;57.61;58.96;24.78;182.96;217.04;113.7
West Ham;Premier League;59.0;33.63;7.37;38.68;43.69;17.63;33.49;46.81;25.81;8.7;4.96;1.09;47.7;53.87;21.74;179.26;250.57;138.13
Wolves;Premier League;57.98;32.18;9.84;42.26;41.59;16.16;32.68;49.49;24.19;9.48;5.26;1.61;52.3;51.48;20.0;196.61;297.78;145.52
Angers;Ligue 1;47.68;41.14;11.18;34.49;45.81;19.7;32.03;50.55;23.71;9.42;8.12;2.21;56.92;75.58;32.5;193.42;305.21;143.17
Bordeaux;Ligue 1;55.47;34.35;10.18;35.54;45.3;19.16;35.49;51.5;18.86;9.08;5.62;1.67;47.29;60.29;25.5;222.58;323.0;118.29
Brest;Ligue 1;55.38;37.44;7.17;36.94;42.93;20.12;37.38;45.99;23.67;10.29;6.96;1.33;54.46;63.29;29.67;233.54;287.33;147.88
Dijon;Ligue 1;57.37;35.49;7.14;36.24;45.24;18.53;39.51;48.37;18.8;10.71;6.62;1.33;45.96;57.38;23.5;232.79;285.0;110.75
Lens;Ligue 1;41.63;46.14;12.23;29.71;47.78;22.51;29.87;54.14;22.68;8.08;8.96;2.38;37.33;60.04;28.29;190.83;345.88;144.92
